"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.525198938992042,0.48,"0.875","0.494252873563218",1
"2","randomforest",0.577651515151515,0.52,"0.9","0.511363636363636",2
"3","randomforest",0.532246633593196,0.54,"0.838110838110838","0.530120481927711",3
"4","randomforest",0.632156862745098,0.56,"0.892374517374517","0.541176470588235",4
"5","randomforest",0.582745098039216,0.53,"0.871794871794872","0.517647058823529",5
"6","randomforest",0.537282941777324,0.505,"0.897435897435897","0.5",6
"7","randomforest",0.60078431372549,0.55,"0.875","0.529411764705882",7
"8","randomforest",0.521117608836907,0.53,"0.820970695970696","0.518518518518518",8
"9","randomforest",0.541528239202658,0.5,"0.87025012025012","0.5",9
"10","randomforest",0.522352941176471,0.51,"0.852941176470588","0.5",10
