"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.789083859240202,0.6195,"0.945606694560669","0.576463560334528",1
"2","randomforest",0.800248474045266,0.618,"0.957239998488912","0.574970484061393",2
"3","randomforest",0.810466241399082,0.604,"0.967339066883213","0.565366972477064",3
"4","randomforest",0.778595421196853,0.6225,"0.949698189134809","0.579355608591885",4
"5","randomforest",0.802378161112042,0.614,"0.954768884488653","0.574443141852286",5
"6","randomforest",0.757479880581515,0.599,"0.948155481864955","0.561915887850467",6
"7","randomforest",0.801544061667301,0.611,"0.954163456824708","0.56924882629108",7
"8","randomforest",0.745353422619048,0.59,"0.927435167615433","0.554761904761905",8
"9","randomforest",0.716807035909149,0.5845,"0.92911877394636","0.554577464788732",9
"10","randomforest",0.775958337016412,0.6085,"0.938775510204082","0.568615751789976",10
