"","classifier","auc","acc","run"
"1","randomforest",0.676037455841983,0.510498289849127,1
"2","randomforest",0.674598177715335,0.515100265928509,2
"3","randomforest",0.67831824543791,0.518867817042551,3
"4","randomforest",0.675377301282368,0.512548904953352,4
"5","randomforest",0.691621260242665,0.541070656558902,5
"6","randomforest",0.6744309413545,0.509736344510566,6
"7","randomforest",0.678260137629581,0.518538722846462,7
"8","randomforest",0.6810846867476,0.521313261356154,8
"9","randomforest",0.669954587781331,0.512172093140924,9
"10","randomforest",0.664393001069186,0.507803518597475,10
